"No.","Time","Source","Destination","Protocol","Length","Info"
"959","289.831008231","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"961","289.995475506","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"963","290.301903590","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"964","290.609103882","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"965","291.649812122","192.168.1.46","192.168.1.47","UDP","42","56321  >  49193 Len=0"
"966","291.700006041","192.168.1.46","192.168.1.47","UDP","42","56327  >  1900 Len=0"
"967","291.750226104","192.168.1.46","192.168.1.47","UDP","42","56321  >  26407 Len=0"
"968","291.800450787","192.168.1.46","192.168.1.47","UDP","42","56321  >  49200 Len=0"
"969","291.850648537","192.168.1.46","192.168.1.47","UDP","42","56321  >  49209 Len=0"
"970","291.900883942","192.168.1.46","192.168.1.47","UDP","42","56321  >  28493 Len=0"
"971","291.927776106","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"974","293.373705475","192.168.1.43","224.0.0.251","MDNS","120","Standard query 0x0000 PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question OPT"
"975","293.374758193","fe80::426:7c3a:7184:9ebb","ff02::fb","MDNS","140","Standard query 0x0000 PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question OPT"
"977","294.152621663","192.168.1.46","192.168.1.47","UDP","42","56322  >  28493 Len=0"
"978","294.252789053","192.168.1.46","192.168.1.47","UDP","42","56322  >  49209 Len=0"
"979","294.352973499","192.168.1.46","192.168.1.47","UDP","42","56322  >  49200 Len=0"
"980","294.453148183","192.168.1.46","192.168.1.47","UDP","42","56322  >  26407 Len=0"
"982","294.705845398","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"983","294.705893710","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"984","294.708256008","192.168.1.46","192.168.1.47","UDP","42","56321  >  46093 Len=0"
"985","294.713843758","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"987","296.586646941","192.168.1.46","192.168.1.47","UDP","42","56323  >  49200 Len=0"
"988","296.753258671","192.168.1.43","224.0.0.251","MDNS","214","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Air Julia._companion-link._tcp.local PTR 50-35-10-70.1 Kalanda._sleep-proxy._udp.local OPT"
"989","296.754711448","fe80::426:7c3a:7184:9ebb","ff02::fb","MDNS","234","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Air Julia._companion-link._tcp.local PTR 50-35-10-70.1 Kalanda._sleep-proxy._udp.local OPT"
"990","296.787003605","192.168.1.46","192.168.1.47","UDP","42","56328  >  1900 Len=0"
"991","296.876676444","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"992","296.987282212","192.168.1.46","192.168.1.47","UDP","42","56323  >  28493 Len=0"
"993","297.187669439","192.168.1.46","192.168.1.47","UDP","42","56321  >  25337 Len=0"
"994","297.191515650","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"996","297.674334664","192.168.1.34","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _googlerpc._tcp.local, ""QM"" question"
"997","297.675092891","192.168.1.34","224.0.0.251","MDNS","91","Standard query 0x0000 SRV googlerpc._googlerpc._tcp.local, ""QM"" question"
"998","297.676404776","192.168.1.34","224.0.0.251","MDNS","220","Standard query response 0x0000 PTR googlerpc._googlerpc._tcp.local TXT, cache flush SRV, cache flush 0 0 8012 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"999","297.677482257","192.168.1.34","224.0.0.251","MDNS","158","Standard query response 0x0000 SRV, cache flush 0 0 8012 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"1000","297.678248973","192.168.1.34","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlezone._tcp.local, ""QM"" question"
"1001","297.679804108","192.168.1.34","224.0.0.251","MDNS","268","Standard query response 0x0000 PTR c9aba702-a5ab-3451-e950-3068da1d4368._googlezone._tcp.local TXT, cache flush SRV, cache flush 610 47 10001 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"1003","298.075552495","192.168.1.46","192.168.1.47","UDP","42","56321  >  62699 Len=0"
"1006","298.390444641","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1007","298.392817549","192.168.1.46","192.168.1.47","UDP","42","56321  >  18258 Len=0"
"1008","298.593028761","192.168.1.46","192.168.1.47","UDP","42","56321  >  51972 Len=0"
"1009","299.211438899","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"1010","299.213378149","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"1011","299.518699045","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"1012","299.520601114","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"1013","299.522717573","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"1014","299.590800105","192.168.1.46","192.168.1.47","UDP","42","56322  >  18258 Len=0"
"1015","299.791116919","192.168.1.46","192.168.1.47","UDP","42","56322  >  51972 Len=0"
"1016","299.826120184","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"1017","299.828458385","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"1018","300.133360973","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"1019","300.134463078","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1021","300.231024827","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1022","300.233293654","192.168.1.46","192.168.1.47","UDP","42","56320  >  57977 Len=0"
"1023","300.238470747","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1024","300.708436446","192.168.1.46","192.168.1.47","UDP","42","56323  >  18258 Len=0"
"1025","300.746658951","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1027","301.351073256","192.168.1.46","192.168.1.47","UDP","42","56321  >  57977 Len=0"
"1029","301.825998113","192.168.1.46","192.168.1.47","UDP","42","56329  >  1900 Len=0"
"1030","301.916352913","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1031","302.026263494","192.168.1.46","192.168.1.47","UDP","42","56318  >  17417 Len=0"
"1032","302.226632812","192.168.1.46","192.168.1.47","UDP","42","56318  >  42627 Len=0"
"1033","302.286733041","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x0017 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"1034","302.286753384","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1035","302.290219366","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"1036","302.488496993","192.168.1.46","192.168.1.47","UDP","42","56322  >  57977 Len=0"
"1039","303.164120513","192.168.1.46","192.168.1.47","UDP","42","56319  >  17417 Len=0"
"1040","303.626056671","192.168.1.46","192.168.1.47","UDP","42","56323  >  57977 Len=0"
"1041","304.301918836","192.168.1.46","192.168.1.47","UDP","42","56320  >  17417 Len=0"
"1042","304.763536359","192.168.1.46","192.168.1.47","UDP","42","56318  >  17018 Len=0"
"1043","305.137946197","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1044","305.140310218","192.168.1.46","192.168.1.47","UDP","42","56318  >  19687 Len=0"
"1045","305.340598110","192.168.1.46","192.168.1.47","UDP","42","56321  >  17417 Len=0"
"1046","306.176037099","192.168.1.46","192.168.1.47","UDP","42","56319  >  19687 Len=0"
"1047","306.376392996","192.168.1.46","192.168.1.47","UDP","42","56322  >  17417 Len=0"
"1050","307.211826094","192.168.1.46","192.168.1.47","UDP","42","56330  >  1900 Len=0"
"1051","307.412202766","192.168.1.46","192.168.1.47","UDP","42","56323  >  17417 Len=0"
"1052","307.595759264","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1053","307.612427760","192.168.1.46","192.168.1.47","UDP","42","56320  >  19687 Len=0"
"1054","307.812787920","192.168.1.46","192.168.1.47","UDP","42","56318  >  20146 Len=0"
"1057","308.012948661","192.168.1.46","192.168.1.47","UDP","42","56318  >  515 Len=0"
"1058","308.018489656","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1059","308.662971387","192.168.1.46","192.168.1.47","UDP","42","56321  >  19687 Len=0"
"1060","308.863338829","192.168.1.46","192.168.1.47","UDP","42","56319  >  20146 Len=0"
"1061","309.713906318","192.168.1.46","192.168.1.47","UDP","42","56322  >  19687 Len=0"
"1062","309.914255576","192.168.1.46","192.168.1.47","UDP","42","56320  >  20146 Len=0"
"1063","310.269759139","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1065","310.271569919","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1066","310.577002416","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1067","310.764915283","192.168.1.46","192.168.1.47","UDP","42","56323  >  19687 Len=0"
"1071","310.965010487","192.168.1.46","192.168.1.47","UDP","42","56321  >  20146 Len=0"
"1078","311.815865496","192.168.1.46","192.168.1.47","UDP","42","56331  >  1900 Len=0"
"1079","312.016213577","192.168.1.46","192.168.1.47","UDP","42","56322  >  20146 Len=0"
"1081","313.066819172","192.168.1.46","192.168.1.47","UDP","42","56323  >  20146 Len=0"
"1082","314.115824149","192.168.1.46","192.168.1.47","UDP","42","56318  >  21282 Len=0"
"1084","314.771692340","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1085","314.771862251","192.168.1.46","192.168.1.47","UDP","42","56318  >  18360 Len=0"
"1086","314.777115976","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1087","314.972263788","192.168.1.46","192.168.1.47","UDP","42","56318  >  1457 Len=0"
"1088","314.975582627","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1089","315.172637768","192.168.1.46","192.168.1.47","UDP","42","56318  >  1008 Len=0"
"1090","315.373081842","192.168.1.46","192.168.1.47","UDP","42","56318  >  18449 Len=0"
"1091","315.632434242","192.168.1.46","80.58.61.250","DNS","85","Standard query 0x1c4b A raw.githubusercontent.com"
"1092","315.680909281","80.58.61.250","192.168.1.46","DNS","136","Standard query response 0x1c4b A raw.githubusercontent.com CNAME github.map.fastly.net A 151.101.132.133"
"1159","316.463710206","192.168.1.46","192.168.1.47","UDP","42","56319  >  1008 Len=0"
"1160","316.663985441","192.168.1.46","192.168.1.47","UDP","42","56319  >  18449 Len=0"
"1161","317.754692283","192.168.1.46","192.168.1.47","UDP","42","56320  >  1008 Len=0"
"1162","317.954974433","192.168.1.46","192.168.1.47","UDP","42","56332  >  1900 Len=0"
"1163","318.298282947","192.168.1.46","80.58.61.250","DNS","76","Standard query 0x5a6c A s3.amazonaws.com"
"1164","318.298331500","192.168.1.46","80.58.61.250","DNS","76","Standard query 0x6276 AAAA s3.amazonaws.com"
"1165","318.346343153","80.58.61.250","192.168.1.46","DNS","248","Standard query response 0x5a6c A s3.amazonaws.com CNAME s3-1.amazonaws.com A 52.216.185.46 NS ns-1084.awsdns-07.org NS ns-1726.awsdns-23.co.uk NS ns-482.awsdns-60.com NS ns-782.awsdns-33.net"
"1166","318.355657616","80.58.61.250","192.168.1.46","DNS","179","Standard query response 0x6276 AAAA s3.amazonaws.com CNAME s3-1.amazonaws.com SOA ns-1726.awsdns-23.co.uk"
"1185","318.691344132","192.168.1.46","80.58.61.250","DNS","77","Standard query 0xaeb2 A ocsp.digicert.com"
"1188","318.778296416","80.58.61.250","192.168.1.46","DNS","125","Standard query response 0xaeb2 A ocsp.digicert.com CNAME cs9.wac.phicdn.net A 93.184.220.29"
"1202","319.045765405","192.168.1.46","192.168.1.47","UDP","42","56321  >  1008 Len=0"
"1207","319.179295542","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"1208","319.181360456","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"1209","319.486619034","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"1210","319.488534171","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"1211","319.490638505","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"1212","319.793957192","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"1213","319.796170102","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"1214","320.101274582","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"1215","320.102401342","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1217","320.337033580","192.168.1.46","192.168.1.47","UDP","42","56322  >  1008 Len=0"
"1219","320.408203417","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1220","320.540854582","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1221","321.628266897","192.168.1.46","192.168.1.47","UDP","42","56323  >  1008 Len=0"
"1222","322.291515233","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x0018 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"1223","322.294885832","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"1224","322.919511213","192.168.1.46","192.168.1.47","UDP","42","56320  >  18449 Len=0"
"1226","323.786748986","192.168.1.43","224.0.0.251","MDNS","214","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Air Julia._companion-link._tcp.local PTR 50-35-10-70.1 Kalanda._sleep-proxy._udp.local OPT"
"1227","323.788073995","fe80::426:7c3a:7184:9ebb","ff02::fb","MDNS","234","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Air Julia._companion-link._tcp.local PTR 50-35-10-70.1 Kalanda._sleep-proxy._udp.local OPT"
"1228","324.210791461","192.168.1.46","192.168.1.47","UDP","42","56321  >  18449 Len=0"
"1237","325.502004381","192.168.1.46","192.168.1.47","UDP","42","56322  >  18449 Len=0"
"1240","326.793271716","192.168.1.46","192.168.1.47","UDP","42","56323  >  18449 Len=0"
"1241","328.084550020","192.168.1.46","192.168.1.47","UDP","42","56318  >  16680 Len=0"
"1244","328.496306665","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1245","328.496458068","192.168.1.46","192.168.1.47","UDP","42","56318  >  664 Len=0"
"1246","328.500516837","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1247","328.696878699","192.168.1.46","192.168.1.47","UDP","42","56318  >  30303 Len=0"
"1248","328.700714737","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1249","328.897221182","192.168.1.46","192.168.1.47","UDP","42","56318  >  1057 Len=0"
"1250","328.900985347","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1253","329.097664283","192.168.1.46","192.168.1.47","UDP","42","56318  >  39723 Len=0"
"1254","329.101780484","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1255","329.297994597","192.168.1.46","192.168.1.47","UDP","42","56318  >  17845 Len=0"
"1256","329.301449587","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1257","329.498341370","192.168.1.46","192.168.1.47","SRVLOC","96","Service Request, V2 XID - 1"
"1258","329.502086880","192.168.1.47","192.168.1.46","ICMP","124","Destination unreachable (Port unreachable)"
"1259","329.698729259","192.168.1.46","192.168.1.47","UDP","42","56318  >  689 Len=0"
"1260","329.899085404","192.168.1.46","192.168.1.47","UDP","42","56318  >  17762 Len=0"
"1261","329.940122264","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1263","330.544271300","192.168.1.46","192.168.1.47","UDP","42","56319  >  689 Len=0"
"1264","330.744634099","192.168.1.46","192.168.1.47","UDP","42","56319  >  17762 Len=0"
"1265","330.852136920","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1266","331.389885874","192.168.1.46","192.168.1.47","UDP","42","56333  >  1900 Len=0"
"1267","331.393926872","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1268","331.590200598","192.168.1.46","192.168.1.47","UDP","42","56320  >  17762 Len=0"
"1269","331.790485431","192.168.1.46","192.168.1.47","UDP","42","56320  >  689 Len=0"
"1270","331.990779049","192.168.1.46","192.168.1.47","UDP","42","56318  >  29256 Len=0"
"1271","331.994787332","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1272","332.277390285","192.168.1.46","192.168.1.47","UDP","42","56321  >  17762 Len=0"
"1273","332.477730535","192.168.1.46","192.168.1.47","UDP","42","56321  >  689 Len=0"
"1274","332.964742495","192.168.1.46","192.168.1.47","UDP","42","56322  >  17762 Len=0"
"1275","333.165041967","192.168.1.46","192.168.1.47","UDP","42","56322  >  689 Len=0"
"1278","333.652153694","192.168.1.46","192.168.1.47","UDP","42","56323  >  17762 Len=0"
"1279","333.852517103","192.168.1.46","192.168.1.47","UDP","42","56323  >  689 Len=0"
"1282","334.339546499","192.168.1.46","192.168.1.47","UDP","42","56318  >  28122 Len=0"
"1283","334.539861061","192.168.1.46","192.168.1.47","UDP","42","56334  >  1900 Len=0"
"1284","334.786104844","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1285","334.788353153","192.168.1.46","192.168.1.47","UDP","42","56318  >  49205 Len=0"
"1286","334.791328940","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1288","334.988715783","192.168.1.46","192.168.1.47","UDP","42","56318  >  49360 Len=0"
"1289","335.027453232","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1290","335.189043837","192.168.1.46","192.168.1.47","UDP","42","56318  >  49170 Len=0"
"1291","335.389432569","192.168.1.46","192.168.1.47","UDP","42","56318  >  17091 Len=0"
"1292","335.931634991","192.168.1.46","192.168.1.47","UDP","42","56319  >  49170 Len=0"
"1293","336.132016023","192.168.1.46","192.168.1.47","UDP","42","56319  >  17091 Len=0"
"1296","336.674217795","192.168.1.46","192.168.1.47","UDP","42","56320  >  49170 Len=0"
"1297","336.874507951","192.168.1.46","192.168.1.47","UDP","42","56320  >  17091 Len=0"
"1301","337.416899471","192.168.1.46","192.168.1.47","UDP","42","56321  >  49170 Len=0"
"1302","337.617207890","192.168.1.46","192.168.1.47","UDP","42","56321  >  17091 Len=0"
"1303","338.159612077","192.168.1.46","192.168.1.47","UDP","42","56335  >  1900 Len=0"
"1304","338.359929308","192.168.1.46","192.168.1.47","UDP","42","56322  >  17091 Len=0"
"1305","339.102422852","192.168.1.46","192.168.1.47","UDP","42","56323  >  17091 Len=0"
"1307","339.147279494","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"1308","339.149175075","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"1310","339.454533636","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"1311","339.456477544","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"1312","339.551628178","192.168.1.46","80.58.61.250","DNS","86","Standard query 0xe48d A tiles.services.mozilla.com"
"1313","339.599501820","80.58.61.250","192.168.1.46","DNS","377","Standard query response 0xe48d A tiles.services.mozilla.com CNAME tiles.r53-2.services.mozilla.com A 35.166.89.106 A 52.33.184.165 A 52.24.113.72 A 52.32.14.120 A 52.39.125.254 A 52.39.224.180 A 52.89.51.22 A 54.148.67.145 NS ns-1507.awsdns-60.org NS ns-1537.awsdns-00.co.uk NS ns-206.awsdns-25.com NS ns-772.awsdns-32.net"
"1315","339.762302713","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"1316","339.764322360","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"1317","339.766527849","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"1321","339.845155548","192.168.1.46","192.168.1.47","UDP","42","56322  >  49170 Len=0"
"1322","340.069091390","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"1323","340.070377734","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1334","340.250887899","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1335","340.294430960","192.168.1.46","80.58.61.250","DNS","84","Standard query 0x501d A snippets.cdn.mozilla.net"
"1336","340.342570196","80.58.61.250","192.168.1.46","DNS","188","Standard query response 0x501d A snippets.cdn.mozilla.net CNAME d228z91au11ukj.cloudfront.net A 13.33.235.20 A 13.33.235.36 A 13.33.235.107 A 13.33.235.90"
"1361","340.587840802","192.168.1.46","192.168.1.47","UDP","42","56323  >  49170 Len=0"
"1363","340.683169731","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1365","341.330699192","192.168.1.46","192.168.1.47","UDP","42","56318  >  21655 Len=0"
"1366","341.591015302","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1367","341.591177900","192.168.1.46","192.168.1.47","UDP","42","56318  >  27015 Len=0"
"1368","341.593386799","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1369","341.791547166","192.168.1.46","192.168.1.47","UDP","42","56318  >  11487 Len=0"
"1370","341.794675124","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1371","341.991925089","192.168.1.46","192.168.1.47","UDP","42","56318  >  434 Len=0"
"1372","342.192285114","192.168.1.46","192.168.1.47","UDP","42","56318  >  21060 Len=0"
"1374","342.295668677","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x0019 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"1375","342.299134855","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"1376","342.646358455","192.168.1.46","192.168.1.47","UDP","42","56319  >  434 Len=0"
"1377","342.846711886","192.168.1.46","192.168.1.47","UDP","42","56319  >  21060 Len=0"
"1378","343.300755734","192.168.1.46","192.168.1.47","UDP","42","56336  >  1900 Len=0"
"1379","343.500902426","192.168.1.46","192.168.1.47","UDP","42","56320  >  21060 Len=0"
"1380","343.599016306","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1381","343.701199052","192.168.1.46","192.168.1.47","UDP","42","56320  >  434 Len=0"
"1382","343.901577385","192.168.1.46","192.168.1.47","UDP","42","56318  >  464 Len=0"
"1383","343.906559927","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1384","344.192363075","192.168.1.46","192.168.1.47","UDP","42","56321  >  21060 Len=0"
"1385","344.392739818","192.168.1.46","192.168.1.47","UDP","42","56321  >  434 Len=0"
"1386","344.884013879","192.168.1.46","192.168.1.47","UDP","42","56322  >  21060 Len=0"
"1387","345.084270919","192.168.1.46","192.168.1.47","UDP","42","56322  >  434 Len=0"
"1388","345.575520631","192.168.1.46","192.168.1.47","UDP","42","56323  >  21060 Len=0"
"1389","345.775878784","192.168.1.46","192.168.1.47","UDP","42","56323  >  434 Len=0"
"1391","346.266948619","192.168.1.46","192.168.1.47","UDP","42","56318  >  49173 Len=0"
"1394","346.436309608","192.168.1.46","80.58.61.250","DNS","74","Standard query 0x120d A www.google.com"
"1395","346.467259915","192.168.1.46","192.168.1.47","UDP","42","56337  >  1900 Len=0"
"1396","346.484727299","80.58.61.250","192.168.1.46","DNS","90","Standard query response 0x120d A www.google.com A 216.58.211.36"
"1402","346.621119489","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1412","346.667485377","192.168.1.46","192.168.1.47","UDP","42","56318  >  21742 Len=0"
"1509","347.019720501","192.168.1.46","80.58.61.250","DNS","78","Standard query 0xc1c6 A consent.google.com"
"1510","347.117990223","80.58.61.250","192.168.1.46","DNS","94","Standard query response 0xc1c6 A consent.google.com A 216.58.211.46"
"1523","347.287766402","192.168.1.46","192.168.1.47","UDP","42","56318  >  31189 Len=0"
"1535","347.445035257","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"1543","347.487907835","192.168.1.46","192.168.1.47","UDP","42","56319  >  21742 Len=0"
"1545","347.688187521","192.168.1.46","192.168.1.47","UDP","42","56318  >  20445 Len=0"
"1558","348.158256465","192.168.1.46","192.168.1.47","UDP","42","56320  >  21742 Len=0"
"1588","348.358566993","192.168.1.46","192.168.1.47","UDP","42","56319  >  20445 Len=0"
"1634","348.828590785","192.168.1.46","192.168.1.47","UDP","42","56321  >  21742 Len=0"
"1665","349.029049544","192.168.1.46","192.168.1.47","UDP","42","56320  >  20445 Len=0"
"1727","349.498963781","192.168.1.46","192.168.1.47","UDP","42","56322  >  21742 Len=0"
"1741","349.699270234","192.168.1.46","192.168.1.47","UDP","42","56321  >  20445 Len=0"
"1781","350.169095233","192.168.1.46","192.168.1.47","UDP","42","56338  >  1900 Len=0"
"1782","350.205648264","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1784","350.369411002","192.168.1.46","192.168.1.47","UDP","42","56322  >  20445 Len=0"
"1788","350.512813237","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1790","350.548508101","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"1811","351.039777752","192.168.1.46","192.168.1.47","UDP","42","56323  >  20445 Len=0"
"1812","351.710428730","192.168.1.46","192.168.1.47","UDP","42","56323  >  21742 Len=0"
"1815","352.380925387","192.168.1.46","192.168.1.47","UDP","42","56318  >  2160 Len=0"
"1837","353.051514008","192.168.1.46","192.168.1.47","UDP","42","56319  >  2160 Len=0"
"1839","353.072236283","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
